RSN,EarthquakeName,Year,StationName,EarthquakeMagnitude,MagnitudeType,StationLatitude,StationLongitude,ClstD_km_,Vs30_m_s_,T__min_,T__max_,mean_m_T_0P1,mean_r_T_0P1,mean_epsiolon_T_0P1,mean_m_T_1P0,mean_r_T_1P0,mean_epsiolon_T_1P0,mean_m_T_5P0,mean_r_T_5P0,mean_epsiolon_T_5P0
1077,"Northridge-01",1994,"Santa Monica City Hall",6.69,Mw,34.011,-118.49,26.45,336.2,0.025,0.24,6.83,9.53,1.31,7.33,10.01,1.01,7.52,15.88,1.03
1080,"Northridge-01",1994,"Simi Valley - Katherine Rd",6.69,Mw,34.264,-118.666,13.42,557.42,0.36,0.85,6.88,10.33,1.52,7.3,11.74,1.37,7.55,16.51,1.27
1087,"Northridge-01",1994,"Tarzana - Cedar Hill A",6.69,Mw,34.16,-118.534,15.6,257.21,0.01,0.8,6.6,13.56,1.61,7.35,15.95,1.32,7.6,22.42,1.27
1762,"Hector Mine",1999,"Amboy",7.13,Mw,34.56,-115.743,43.05,382.93,3,4.8,6.35,22.76,1.23,7.15,52.63,1.41,7.61,84.77,1.47
1787,"Hector Mine",1999,"Hector",7.13,Mw,34.8294,-116.335,11.66,726,0.44,2.2,6.17,9.11,1.45,6.79,14.96,1.26,7.38,36.12,1.2
4031,"San Simeon, CA",2003,"Templeton - 1-story Hospital",6.52,Mw,35.556,-120.719,6.22,410.66,0.11,0.13,6.81,14.25,1.23,7.41,19.26,1.06,7.74,28.24,1.04
4101,"Parkfield-02, CA",2004,"Parkfield - Cholame 3E",6,Mw,35.77,-120.247,5.55,397.36,0.07,0.075,6.92,7.64,1.79,7.56,7.34,1.57,7.85,6.94,1.16
4114,"Parkfield-02, CA",2004,"Parkfield - Fault Zone 11",6,Mw,35.896,-120.398,4,541.73,0.022,0.067,6.48,6.02,2.03,7.2,6.38,1.74,7.89,6.79,1
4116,"Parkfield-02, CA",2004,"Parkfield - Fault Zone 14",6,Mw,35.908,-120.458,8.81,246.07,0.029,0.06,6.22,4.99,1.81,7.07,4.83,1.78,7.89,5.23,0.95
4126,"Parkfield-02, CA",2004,"Parkfield - Stone Corral 1E",6,Mw,35.788,-120.294,3.79,260.63,0.055,0.065,6.61,6.36,1.76,7.45,5.92,1.64,7.86,5.61,1.15
5985,"El Mayor-Cucapah",2010,"El Centro Differential Array",7.2,Mw,32.796,-115.535,23.42,202.26,0.13,0.22,6.84,11.01,1.74,7.33,8.59,1.6,7.5,8.14,1.38
5992,"El Mayor-Cucapah",2010,"El Centro Array #11",7.2,Mw,32.7517,-115.5952,16.21,196.25,0.3,0.35,6.72,13.33,1.86,7.18,13.28,1.9,7.41,14.22,1.69
8606,"El Mayor-Cucapah",2010,"Westside Elementary School",7.2,Mw,32.75904,-115.7316,11.44,242,4.8,6,6.62,15.17,1.9,7.17,16.91,1.88,7.44,19.08,1.66
9071,"14151344",2005,"Pinon Flats Observatory, Ca, Usa",5.2,Mw,33.6117,-116.4594,19.62,763,0.046,0.046,6.74,12.53,1.74,7.32,15.95,1.63,7.68,18.94,1.35
